Log Started
ENTRY at: 01:13
EXIT at: 01:15
ENTRY at: 01:17
EXIT at: 01:20
ENTRY at: 01:23
ENTRY at: 00:03
EXIT at: 00:05
ENTRY at: 00:08
Obj 1 Entry 00:02
Obj 1 Exit 00:06
Obj 2 Entry 00:08
Obj 2 Exit 00:10
Obj 3 Entry 00:12
Obj 1 Entry 00:02
Obj 1 Entry 00:02
Obj 1 Exit 00:06
Obj 2 Entry 00:09
Obj 2 Exit 00:12
Obj 3 Entry 00:14
Obj 3 Exit 00:18
Obj 4 Entry 00:20
Obj 1 Entry 00:02
Obj 1 Entry 00:03
Obj 1 Exit 00:07
Obj 2 Entry 00:09
Obj 2 Exit 00:11
Obj 3 Entry 00:14
Obj 3 Exit 00:17
Obj 4 Entry 00:19
Obj 4 Exit 00:24
Obj 5 Entry 00:26
Obj 5 Exit 00:28
Obj 6 Entry 00:31
